Hugo_Symbol	Entrez_Gene_Id	GTEX-WYVS-1726-SM-3NMAY	GTEX-ZPIC-1126-SM-5BC7F	GTEX-ZC5H-2626-SM-5J2MG	GTEX-W5X1-2326-SM-3GIL6	GTEX-S341-1526-SM-4AD6K	GTEX-T6MO-0326-SM-32QOK	GTEX-Y5LM-1726-SM-4VDSX	GTEX-ZV6S-1826-SM-5NQ8D	GTEX-SE5C-2126-SM-4BRUJ	GTEX-S4UY-0726-SM-4AD6X	GTEX-12WSK-2226-SM-5GCO5	GTEX-ZYWO-2326-SM-5GZY4	GTEX-TMMY-0726-SM-33HBE	GTEX-14AS3-1626-SM-5S2OY	GTEX-YB5K-1626-SM-5IFIN	GTEX-145ME-1526-SM-5Q5F2	GTEX-WI4N-1426-SM-3LK7H	GTEX-XV7Q-2326-SM-4BRVZ	GTEX-TML8-1226-SM-32QON
CHAF1A	10036	185.11	128.79	169.07	96.68	189.02	206.94	228.13	108.14	204.07	150.17	84.63	72.52	118.43	147.06	198.47	126.12	199.85	33.3	178.77
RIMS1	22999	34.02	3.92	2.51	107.38	6.57	4.28	5.68	3.29	3.53	2.84	158.79	1.19	1.75	3.35	2.29	1.99	75.11	1.71	1.87
LGALS3BP	3959	2739.08	20030.74	4358.66	1757.34	7857.29	3303	2796.65	7485.11	6607.01	2303.12	2664.15	9151.82	4736.79	3690.52	19754.96	11909.94	5292.48	14663.09	3716.2
ARX	170302	0.26	0.34	3.86	0.28	41.81	0.29	14.35	0.27	0	36.79	0.97	0	0.27	15.45	0.37	0	1.01	0	0.99
CTGF	1490	13033.07	5219.6	12589.08	8078.22	5112.16	4769.75	5403.7	12853.63	2609.3	3794.3	4972.34	3257.52	5112.16	1909.85	1059.11	2555.58	5183.54	1322.37	2271.4
FKSG63	0	11.38	9.13	6.67	20.86	7.69	6.62	2.23	0.22	6.16	0.36	0.22	5.36	2.29	0	2.07	1.17	1.93	1.17	12.83
ZNF93	81931	195.72	47.17	157.68	145.02	172.65	120.1	105.15	81.71	72.01	75.64	53.57	95.34	194.36	84.04	53.19	53.19	85.82	25.54	110.43
SOCS7	30837	497	166.73	301.33	65.26	218.79	215.77	16.03	123.5	99.43	171.45	119.26	295.11	295.11	79.45	155.5	31.9	129.69	49.56	201.25
BPNT1	10380	1277.29	988.12	1167.14	607.87	532.74	967.76	759.08	429.54	476.71	540.19	432.53	1008.9	591.22	1143.1	708.18	447.82	503.95	620.67	525.39
TUBB	203068	4736.79	17078.76	10959.3	10512.82	8840.04	8538.88	4512.4	7911.95	15824.9	7642.41	11504.21	12244.81	7331.05	8658.09	13306.94	8718.32	10512.82	13215.02	7280.4
GPA33	10223	2.56	1.16	1.04	0	7.11	5.11	6.57	2.1	2.18	10.24	0.56	2.66	0.55	4.43	1.19	5.32	0.57	5.45	6.36
C22orf26	55267	5.15	12.93	8.99	16.27	17.25	12	4.06	8.99	34.26	14.45	5.41	2.07	7.57	7.82	14.03	10.71	6.46	12.55	5.54
FAS	355	1059.11	232.94	571.05	1427.22	514.56	258.57	253.23	229.72	343.89	420.68	265.87	161.02	651.58	283.05	121.79	33.06	656.11	208.38	764.36
JPH2	57158	124.37	158.79	129.69	214.27	101.54	226.54	358.54	51.35	444.72	35	466.88	68.07	142.01	104.42	79.45	72.01	466.88	13.22	215.77
PIWIL4	143689	110.43	52.08	156.59	171.45	80.57	135.24	43.63	71.5	20.11	63	170.25	27.84	170.25	13.52	38.4	50.27	24.63	48.52	99.43
PELI1	57162	1073.91	265.87	775.05	438.59	420.68	693.58	493.56	323.03	314.17	476.71	305.55	269.6	775.05	258.57	144.01	373.81	1322.37	293.07	764.36
RP11-268J15.5	0	107.38	33.3	46.84	35.5	70.51	109.66	356.05	14.03	41.22	62.56	23.93	36.79	67.59	28.24	26.47	10.39	124.37	9.85	112.77
PPP1R15B	84919	884.29	723.08	480.04	1151.06	684.02	1037.29	543.96	830.75	463.65	988.12	642.59	493.56	1268.46	426.57	1208.34	1119.56	1250.98	759.08	785.88
FBN1	2200	536.45	4836.35	500.46	1757.34	3325.99	525.39	1199.98	4736.79	595.34	1059.11	4481.23	1697.45	2520.38	325.29	1651	1340.84	4010.71	1313.23	1437.15
SSX1	6756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf17	84103	0	0	0	0	0.55	0	0	0	0.41	0.61	0	0	0	0	0	0	0	0	0
GPR39	2863	169.07	15.45	98.73	37.85	218.79	31.9	28.04	10.47	96.68	67.59	12.09	15.56	30.56	62.56	73.03	11.13	18.7	1.25	49.91
SLC5A8	160728	3.69	0	884.29	0.48	0.42	0.49	0	0	7.34	2.12	0.47	0.47	10.16	0.48	0.64	0.54	22.75	0	0.49
SCLT1	132320	158.79	74.06	94.67	171.45	102.25	90.14	154.42	88.88	88.26	88.26	64.8	74.06	101.54	64.34	58.3	58.3	84.63	80.57	170.25
TTK	7272	52.82	11.73	56.28	11.55	30.12	21.01	15.56	5.96	42.71	22.26	8.58	6.01	47.17	32.36	24.11	5.5	14.78	6.62	12.55
H2AFJ	55766	595.34	10154.69	551.56	163.28	1662.49	3690.52	2163.77	5366.37	5594.3	5517.27	3039.3	5479.15	450.94	4802.93	6207.38	2468.49	3395.89	10014.87	1191.69
OR4K1	79544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARCH4	57574	0	1.14	0	0	0	0.99	0	0	0	1.08	0	0	0.93	0	0	0	0	0.92	0.99
NUDT12	83594	381.68	163.28	217.27	447.82	339.14	500.46	318.57	99.43	123.5	327.56	285.03	172.65	287.01	234.57	236.21	206.94	170.25	106.63	450.94
CXorf40B	541578	896.64	460.44	638.15	928.3	1096.5	684.02	1340.84	470.14	571.05	808	591.22	493.56	934.76	825	616.37	575.03	921.88	450.94	698.41
SNX32	254122	25.54	6.21	42.41	34.02	21.01	24.81	39.5	3.26	16.88	10.16	7.88	17.64	15.56	22.92	24.11	1.46	19.11	14.67	15
ANGPTL3	27329	4.17	0.78	2.05	1.11	1.41	1.13	1.43	2.41	0	1.19	0.49	0.06	2.01	0	1.04	0	2.48	3.2	0.51
TDRD7	23424	314.17	229.72	195.72	624.99	301.33	157.68	242.88	260.38	165.57	206.94	395.18	212.78	441.64	281.09	100.83	265.87	153.34	251.48	318.57
CYP3A7	1551	2.78	19.11	2.01	1.75	6.11	1.6	13.83	11.82	4.86	14.03	8.99	1.58	7.82	1.17	3.17	1.5	2.92	5.68	0.83
KIN	22944	466.88	441.64	493.56	872.1	435.55	208.38	497	309.83	275.28	348.71	450.94	536.45	525.39	647.07	279.14	423.61	190.34	208.38	587.13
CREB3L3	84699	0.22	0.04	1.06	0.45	0.61	0	0	3.29	1.11	1.35	0.23	0.23	0.01	0.24	1.45	0.03	0	1.22	0
MYL12B	103910	8078.22	13681.08	8598.28	16383	10440.2	9945.68	12415.75	11909.94	14262.1	9808.75	13033.07	10733.74	11584.24	33224.42	10733.74	11345.82	10808.41	10225.32	11035.54
GTF2H5	404672	159.9	343.89	120.1	173.85	112.77	114.36	289.02	103.69	157.68	112.77	163.28	163.28	117.6	457.25	195.72	244.57	131.51	122.64	226.54
ZNF284	342909	70.01	31.67	60.39	94.67	67.59	39.79	51.35	18.56	25.72	21.16	18.16	27.84	46.18	15.11	22.59	17.25	24.63	47.5	49.21
ALK	238	12.27	6.94	2.58	1.89	6.67	2.27	3.79	2.23	10.71	7.46	0.46	0.46	3.89	8.06	2.12	3.79	4.43	0.45	6.06
SCN4A	6329	27.84	170.25	12.09	30.34	30.78	249.73	77.25	124.37	46.18	273.37	124.37	169.07	73.03	15.34	204.07	309.83	123.5	273.37	147.06
MAPK1	5594	1044.52	1225.22	2163.77	1977.24	1819.35	1073.91	500.46	1023	1242.34	1233.75	2502.97	563.18	1417.35	536.45	1397.83	909.17	1051.79	1277.29	878.17
CAMSAP1	157922	307.69	299.25	363.56	244.57	234.57	273.37	164.42	195.72	197.09	190.34	183.82	236.21	215.77	138.1	351.14	146.03	158.79	237.86	218.79
DYRK4	8798	1073.91	718.08	1199.98	743.43	733.19	463.65	1781.89	318.57	813.63	848.22	420.68	703.28	629.35	1519.15	417.77	142.01	624.99	353.59	656.11
MARCH3	115123	68.07	159.9	102.25	234.57	105.89	143.01	116.78	256.78	78.89	74.58	218.79	490.14	173.85	267.73	138.1	205.5	638.15	409.15	91.41
KRTAP4-12	83755	0.82	0	0	0	0	0	0	0	0	0	0.57	0	0	0	1.08	0	0	0	0
AK8	158067	90.14	39.5	57.08	94.01	34.51	21.47	40.07	17.64	8.65	32.13	108.14	13.83	69.52	52.45	29.48	19.25	46.18	2.16	50.27
ZNF226	7769	802.41	214.27	540.19	878.17	688.78	301.33	470.14	303.44	239.52	559.28	473.41	265.87	397.93	532.74	441.64	403.5	403.5	241.19	559.28
SCCPDH	51097	902.89	2384.37	1233.75	607.87	500.46	387.02	336.79	1073.91	1001.93	521.76	1051.79	981.29	460.44	764.36	1519.15	1051.79	470.14	1143.1	656.11
SERTAD3	29946	1977.24	693.58	1242.34	633.73	599.49	447.82	684.02	591.22	423.61	642.59	836.53	660.68	830.75	1388.16	583.07	656.11	825	656.11	587.13
STAT4	6775	150.17	18.29	154.42	447.82	53.95	97.36	30.34	10.96	31	65.72	27.25	30.12	153.34	33.3	33.78	79.45	31.9	64.34	314.17
COQ3	51805	224.97	395.18	180.02	406.31	173.85	183.82	237.86	159.9	587.13	182.55	149.12	417.77	218.79	480.04	379.04	150.17	108.9	392.44	312
AGTR2	186	4.7	0	1.73	0	0	0	0	0	0	0.96	0	0	0	0	1.01	1.85	0	0	0
TMEM199	147007	358.54	318.57	423.61	353.59	813.63	208.38	507.46	417.77	693.58	327.56	339.14	400.71	450.94	473.41	638.15	206.94	249.73	312	293.07
DEFB115	245929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COPS3	8533	1259.69	1605.83	1037.29	2004.85	1066.48	1151.06	1628.26	1119.56	1023	1030.12	1487.87	1819.35	2148.82	2193.99	1781.89	1745.2	733.19	902.89	1044.52
CNIH3	149111	119.26	60.82	125.24	403.5	197.09	102.97	118.43	37.32	39.79	125.24	105.15	105.15	109.66	242.88	44.89	31.45	72.01	42.71	52.45
ZSCAN22	342945	50.63	53.95	81.71	74.06	60.39	42.41	60.82	42.41	31.67	39.79	22.26	37.85	48.52	47.84	29.48	29.91	30.56	49.56	61.25
QSOX1	5768	1819.35	954.43	2537.92	1745.2	2451.44	1487.87	1757.34	854.13	1991	915.51	1151.06	967.76	1104.13	1225.22	878.17	591.22	2240.11	1457.23	1242.34
OR4D10	390197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.73	0	0
GSS	2937	1008.9	813.63	780.44	480.04	1081.39	780.44	974.5	400.71	941.27	583.07	423.61	713.11	915.51	921.88	595.34	532.74	775.05	808	612.11
C5orf54	63920	181.28	100.83	125.24	269.6	127	99.43	125.24	38.4	56.68	100.13	51.35	76.17	85.22	71	75.11	55.89	70.51	65.26	191.67
FCN3	8547	31.67	110.43	40.36	30.78	30.78	171.45	14.14	92.7	334.46	142.01	58.3	77.79	31.67	47.5	279.14	172.65	293.07	178.77	42.11
LIN7C	55327	497	301.33	171.45	379.04	289.02	358.54	507.46	246.28	244.57	241.19	255	228.13	438.59	119.26	172.65	361.04	110.43	215.77	353.59
ECHDC3	79746	555.41	3955.48	612.11	122.64	463.65	3639.7	890.44	1617	2485.67	3540.14	583.07	1540.37	813.63	1437.15	4066.71	4358.66	808	2255.7	703.28
IDE	3416	381.68	366.09	195.72	647.07	525.39	447.82	332.14	239.52	376.41	353.59	242.88	201.25	571.05	163.28	237.86	521.76	387.02	325.29	361.04
GATM	2628	1135.2	212.78	1088.92	5329.3	387.02	231.32	316.37	111.21	346.29	242.88	638.15	145.02	297.17	312	97.36	139.07	941.27	202.66	1073.91
ACSM1	116285	41.81	17.51	101.54	43.63	255	28.65	57.08	8	46.5	42.11	229.72	18.29	44.89	507.46	23.42	8.51	43.94	3	406.31
HEMK1	51409	607.87	271.48	830.75	262.2	412	260.38	228.13	146.03	366.09	483.38	166.73	299.25	221.86	813.63	251.48	147.06	275.28	379.04	698.41
B3GALT4	8705	159.9	144.01	139.07	111.99	373.81	209.84	143.01	356.05	147.06	271.48	423.61	105.89	161.02	348.71	156.59	246.28	128.79	209.84	214.27
FEM1B	10116	1008.9	591.22	1037.29	1540.37	656.11	928.3	651.58	429.54	500.46	836.53	890.44	346.29	1059.11	303.44	444.72	316.37	808	346.29	733.19
GABRD	2563	2.16	10	14.89	5.36	1.45	7.63	3.76	4.74	5.82	5.19	16.51	49.21	0.08	5.32	2.18	5.68	13.83	6.11	20.11
NRARP	441478	139.07	84.63	105.89	125.24	64.34	73.54	47.17	297.17	186.4	65.26	164.42	88.26	63.45	127	101.54	144.01	190.34	129.69	432.53
LMO3	55885	24.46	629.35	47.84	271.48	20.71	559.28	31.45	305.55	178.77	743.43	587.13	231.32	262.2	32.36	1242.34	2018.8	223.41	153.34	125.24
HS6ST3	266722	0	0	0	28.24	13.93	0.52	0	5.32	0	1.14	332.14	0.49	0.47	0	0	0	6.52	1.55	19.39
TMEM68	137695	854.13	384.34	583.07	819.3	417.77	476.71	343.89	150.17	381.68	251.48	248	447.82	540.19	575.03	244.57	208.38	218.79	295.11	848.22
OLFML3	56944	2240.11	2061.24	1044.52	3491.39	3901.01	703.28	1594.73	769.69	2004.85	808	4210.15	1757.34	2816.11	1447.15	1008.9	307.69	2855.44	493.56	1733.13
DEGS1	8560	1628.26	2075.59	1322.37	2303.12	836.53	3257.52	2148.82	1685.71	2976.74	1119.56	1819.35	1127.35	1832.01	2976.74	3212.66	5329.3	2875.3	3589.58	1769.57
C10orf12	26148	52.45	18.16	57.89	73.54	26.28	30.78	17.64	23.42	20.71	30.56	36.27	25.54	38.4	11.04	15.45	16.63	24.99	25.91	26.67
PHF12	57649	660.68	334.46	909.17	384.34	808	583.07	547.75	299.25	379.04	764.36	412	287.01	698.41	262.2	325.29	273.37	529.06	368.65	518.15
PCNXL4	64430	743.43	507.46	688.78	1447.15	624.99	490.14	802.41	312	336.79	371.22	356.05	426.57	796.86	400.71	320.8	248	457.25	295.11	791.35
SIGLEC9	27180	11.3	75.64	34.75	13.62	26.28	38.12	53.57	81.71	45.85	24.63	22.26	84.63	41.52	26.47	20.26	17.25	64.8	63	34.26
CCR5	1234	133.36	57.89	275.28	108.14	66.65	93.35	53.19	17	19.39	124.37	1.36	27.05	60.39	170.25	28.45	3.96	34.51	45.21	316.37
C19orf77	284422	13.93	14.78	13.83	2.92	47.84	54.33	44.89	2.39	16.75	17.13	0	11.64	31.45	23.42	11.21	0	11.38	4.58	13.52
SLC29A3	55315	251.48	156.59	353.59	129.69	275.28	155.5	381.68	208.38	108.9	148.09	214.27	224.97	256.78	305.55	47.5	33.3	79.45	169.07	223.41
CYP11B2	1585	0	0	0.16	0	0.21	0	0	0	0	0.08	0.16	0.07	0	0	0	0	0	0	0
MTR	4548	587.13	224.97	224.97	629.35	363.56	249.73	497	214.27	135.24	460.44	341.51	154.42	376.41	42.71	154.42	283.05	412	287.01	429.54
PALMD	54873	1015.93	4298.64	698.41	2193.99	629.35	3491.39	2287.2	4671.57	1639.59	2502.97	1369.04	1794.29	1477.58	1313.23	3419.52	6207.38	1674.06	6471.02	4769.75
IQCA1	79781	197.09	52.45	211.31	128.79	96.01	98.04	114.36	29.7	65.26	42.71	13.32	32.13	143.01	197.09	29.7	1.91	129.69	8.25	72.01
ZZEF1	23140	521.76	223.41	287.01	366.09	412	444.72	220.32	336.79	171.45	457.25	348.71	239.52	389.72	84.04	239.52	325.29	507.46	264.03	426.57
IL33	90865	2400.97	679.29	2163.77	16611.71	842.36	163.28	525.39	403.5	279.14	299.25	1359.57	2090.03	325.29	1721.16	154.42	239.52	3690.52	1447.15	5292.48
MCM8	84515	162.14	84.63	205.5	171.45	60.39	165.57	48.52	98.73	70.01	73.54	59.55	125.24	206.94	148.09	84.63	36.01	80.57	37.59	171.45
HIVEP3	59269	297.17	88.88	366.09	108.14	181.28	312	234.57	52.08	409.15	189.02	61.68	111.99	205.5	206.94	178.77	143.01	366.09	255	158.79
HSBP1L1	440498	688.78	389.72	647.07	332.14	708.18	591.22	921.88	389.72	698.41	651.58	178.77	620.67	599.49	808	209.84	483.38	559.28	279.14	551.56
FSIP2	401024	48.18	3.86	25.72	28.45	41.22	21.16	9.7	10.24	0.83	52.82	5.77	1.22	21.78	0	9.78	1.6	10	2.92	12.45
OTUD3	23252	195.72	94.67	258.57	150.17	142.01	153.34	123.5	75.11	122.64	118.43	49.56	81.14	241.19	41.81	60.82	109.66	124.37	167.9	260.38
RAB44	401258	2.56	2.32	2.97	1.77	4.13	1.46	1.35	1.73	1.03	3.72	6.67	1.58	4.28	0	1.89	2.53	2.29	3.32	0
ERCC6-PGBD3	2074	59.55	3.29	22.1	3.08	32.82	10.39	5.92	24.63	14.03	26.47	27.25	9.41	0	10.24	20.26	14.24	28.24	15.56	5.45
RNF185	91445	1340.84	825	909.17	1651	1183.45	896.64	988.12	616.37	921.88	954.43	1001.93	813.63	1427.22	444.72	587.13	595.34	647.07	679.29	1008.9
CDH5	1003	432.53	915.51	438.59	1208.34	620.67	896.64	454.09	2075.59	1096.5	878.17	988.12	1037.29	543.96	483.38	1639.59	1819.35	1745.2	2609.3	1322.37
SLIT2	9353	536.45	248	264.03	567.1	346.29	176.29	157.68	181.28	181.28	185.11	258.57	138.1	314.17	130.6	124.37	49.21	167.9	141.02	303.44
EGFLAM	133584	423.61	1104.13	660.68	543.96	384.34	2163.77	473.41	438.59	555.41	802.41	295.11	318.57	234.57	733.19	3124.78	5954.47	808	1909.85	902.89
C8orf22	492307	1.25	4.82	3.17	10.08	0	1.89	1.43	0	1.73	0	13.12	28.04	0	1.5	1.85	0.91	18.43	2.32	0.65
SLC25A34	284723	34.51	61.68	46.18	25.17	32.36	70.01	59.97	9.34	19.39	85.82	20.86	49.56	24.99	8.45	30.12	8.19	15.8	13.52	56.28
KBTBD7	84078	271.48	171.45	314.17	332.14	170.25	198.47	104.42	60.82	145.02	130.6	60.82	89.51	197.09	127	140.04	75.11	76.17	99.43	189.02
NBPF1	55672	974.5	638.15	2075.59	2384.37	1331.57	343.89	226.54	309.83	603.67	660.68	212.78	854.13	688.78	332.14	753.83	395.18	244.57	387.02	1081.39
C17orf51	339263	117.6	128.79	47.5	71.5	118.43	178.77	54.33	96.68	134.3	31.67	127.89	95.34	90.14	23.08	92.7	85.82	18.03	166.73	136.19
SLC39A12	221074	13.52	4.98	18.29	1.28	6.41	6.31	5.36	4.98	2.36	6.06	1.75	0.8	1.71	16.27	0.93	0	2.89	0.78	0
MCF2	4168	0.92	0.72	0.97	2.18	1.62	3.08	1.28	0.96	6.67	3.79	2.16	4.39	1.31	1.77	3.06	6.26	4.06	3.35	10.31
ZPLD1	131368	9.34	5.28	6.06	0.26	0	15	0	6.06	0.27	0	7.88	0.25	0	17.38	1.25	0	1.07	0	8.06
CST2	1470	16.63	0	0	4.78	0	0	0	0	0	0	0	28.45	0	5.92	0	13.62	0	0	4.82
PIM3	415116	941.27	698.41	884.29	318.57	651.58	518.15	591.22	872.1	791.35	607.87	571.05	718.08	587.13	1447.15	1369.04	361.04	3103.19	3540.14	447.82
PSD4	23550	521.76	182.55	629.35	206.94	679.29	309.83	267.73	124.37	309.83	454.09	158.79	251.48	314.17	291.04	211.31	71	256.78	116.78	318.57
CENPB	1059	748.61	1073.91	1001.93	480.04	1225.22	1447.15	884.29	1819.35	1832.01	1477.58	1073.91	954.43	848.22	1407.55	1594.73	941.27	941.27	1639.59	842.36
CKS1B	1163	0	33.06	44.57	76.17	0	0	0	0	34.75	27.44	0	0	26.28	65.72	29.7	0	13.32	0	0
NDUFS8	4728	1295.13	3794.3	1605.83	638.15	1697.45	2163.77	3124.78	3060.45	3540.14	2119.22	1745.2	4123.49	854.13	4769.75	4869.99	2645.74	1757.34	4123.49	1313.23
MOV10L1	54456	9.85	46.5	11.38	19.11	4.43	22.92	10.39	13.32	14.56	21.78	8.13	7.88	1.16	4.1	17.77	4.13	12.09	32.13	29.06
TNKS2	80351	1167.14	497	575.03	1242.34	854.13	785.88	791.35	521.76	376.41	603.67	563.18	318.57	1359.57	171.45	318.57	547.75	612.11	295.11	769.69
BEST3	144453	30.56	0.91	0.79	0.8	2.89	3.14	3.53	0	1.38	4.74	0	10.47	6.36	0.8	0.38	1.41	1.36	4.21	1.91
CD58	965	329.84	603.67	260.38	476.71	297.17	559.28	271.48	684.02	529.06	363.56	603.67	373.81	447.82	718.08	656.11	521.76	334.46	346.29	698.41
AL354718.1	0	43.02	0	76.71	0	55.89	40.93	0	28.65	102.97	67.12	99.43	0	0	0	0	49.91	0	28.04	0
SLC52A2	79581	327.56	497	351.14	104.42	559.28	723.08	656.11	819.3	1008.9	703.28	381.68	860.08	438.59	995	775.05	521.76	483.38	1685.71	318.57
HAGH	3029	289.02	1605.83	802.41	325.29	723.08	733.19	884.29	1745.2	1051.79	1417.35	884.29	1498.22	507.46	1259.69	2193.99	1135.2	780.44	1781.89	708.18
AC120194.1	0	275.28	241.19	154.42	995	148.09	463.65	1059.11	441.64	297.17	65.72	363.56	575.03	674.59	3540.14	144.01	460.44	112.77	85.82	961.07
C1orf198	84886	2018.8	441.64	1709.26	2018.8	1143.1	974.5	872.1	703.28	830.75	780.44	878.17	540.19	1008.9	1277.29	269.6	1519.15	1359.57	1322.37	1909.85
NACA	4666	58655.36	60304.42	73221.53	90146.51	43840.21	79022.82	75803.72	51775.15	55491.3	68318.04	72715.74	70727.3	104271.56	147462.67	50359.33	40621.74	48307.85	28525.2	63302.6
PHLDA2	7262	67.59	74.06	55.89	8.65	61.25	14.45	50.27	190.34	128.79	18.03	26.47	137.14	59.97	450.94	42.41	21.16	208.38	381.68	71
NUP35	129401	444.72	275.28	406.31	579.04	343.89	353.59	511	232.94	204.07	224.97	249.73	351.14	480.04	559.28	176.29	129.69	265.87	275.28	314.17
SP2	6668	483.38	312	595.34	295.11	503.95	361.04	346.29	242.88	277.2	460.44	356.05	277.2	463.65	470.14	291.04	271.48	314.17	234.57	441.64
LCN6	158062	15.45	96.01	22.43	3.11	327.56	52.45	15.8	318.57	183.82	148.09	185.11	29.06	77.25	69.03	109.66	195.72	33.54	25.72	49.56
HIBCH	26275	1151.06	1250.98	884.29	842.36	603.67	854.13	339.14	743.43	733.19	638.15	447.82	698.41	547.75	866.07	1081.39	1037.29	262.2	1135.2	890.44
SIT1	27240	38.12	258.57	84.63	14.45	62.12	145.02	6.36	57.08	414.87	121.79	14.67	97.36	40.64	312	218.79	21.63	16.03	26.67	187.71
AMIGO3	386724	54.33	30.78	18.84	47.5	26.1	32.36	4.78	20.41	28.65	5.73	0	29.48	27.05	26.47	21.01	15	12.93	16.03	76.71
ZRSR2	8233	543.96	293.07	521.76	507.46	397.93	218.79	612.11	299.25	275.28	373.81	480.04	384.34	423.61	348.71	212.78	237.86	187.71	356.05	540.19
GGTLC2	91227	0	0	0	3.38	0	0	0	0	0	4.82	0	0	0	0	0	0	0	0	0
MTTP	4547	1.95	19.11	9.48	2.78	1.25	1.3	1.95	2.73	8.99	19.53	8.58	1.28	8.45	2.01	7.82	9.13	4.43	1.97	0
TEX26	122046	0	3.63	2.94	10.71	0	0	3.32	9.48	0	4.03	0	0	2.46	3.89	6.16	9.93	0	0	0
CRYGN	155051	53.19	13.12	16.03	18.29	20.56	13.62	37.32	6.52	5.68	16.03	6.52	8.45	16.15	6.21	1.75	8.92	232.94	6.67	10.88
SCN1A	6323	0	0	0	7.75	0.65	0.74	0	0	0	0	0	0	0	0	0.89	0	17.77	0	0
MDGA1	266727	69.03	50.63	42.71	48.87	138.1	31.67	100.83	59.13	20.86	30.12	57.89	36.27	86.43	28.86	43.02	37.59	9.7	66.65	63.89
TMEM2	23670	470.14	476.71	723.08	426.57	392.44	780.44	679.29	435.55	470.14	748.61	387.02	555.41	665.29	279.14	291.04	457.25	2090.03	536.45	884.29
SLC25A37	51312	860.08	269.6	1662.49	395.18	532.74	866.07	490.14	201.25	603.67	656.11	204.07	389.72	1051.79	490.14	135.24	166.73	2664.15	423.61	1030.12
GRM5	2915	0	0	0	0.46	0	0.46	0	0.45	0	0	0	0	0	0	0	0	3.79	0.44	0
SHE	126669	108.9	312	138.1	511	256.78	173.85	137.14	860.08	460.44	195.72	521.76	320.8	214.27	129.69	514.56	409.15	571.05	791.35	525.39
EMP2	2013	1369.04	1617	995	1143.1	1709.26	1081.39	1008.9	1936.53	1617	6607.01	2417.67	1781.89	1417.35	1037.29	1369.04	2956.17	1685.71	3039.3	1594.73
PARVG	64098	198.47	127.89	293.07	166.73	529.06	291.04	92.7	88.26	68.55	153.34	42.11	103.69	236.21	140.04	16.27	56.28	104.42	124.37	334.46
FBXL3	26224	1199.98	1733.13	1037.29	3395.89	995	1350.18	1617	1594.73	525.39	1151.06	2573.36	1259.69	2075.59	612.11	764.36	1268.46	1081.39	813.63	1519.15
AMDHD2	51005	325.29	379.04	361.04	135.24	764.36	211.31	312	379.04	567.1	624.99	379.04	336.79	392.44	241.19	253.23	101.54	212.78	214.27	633.73
NR2E1	7101	1.07	2.78	10.79	0	0	3.32	1.69	0.52	3.41	4.39	0	2.48	3.17	0	0	0	0.54	0	1.81
NUDT6	11162	211.31	368.65	267.73	353.59	177.53	224.97	115.97	162.14	234.57	92.05	49.91	106.63	91.41	164.42	348.71	486.75	81.14	301.33	334.46
TOMM40	10452	361.04	503.95	490.14	287.01	616.37	743.43	769.69	518.15	1167.14	1008.9	426.57	1628.26	571.05	928.3	1008.9	454.09	738.29	1073.91	363.56
FN3KRP	79672	1437.15	718.08	1407.55	802.41	743.43	753.83	1015.93	511	518.15	947.83	414.87	497	947.83	536.45	738.29	435.55	423.61	403.5	1397.83
IREB2	3658	698.41	679.29	450.94	571.05	591.22	708.18	406.31	420.68	289.02	698.41	429.54	316.37	1073.91	102.97	343.89	612.11	521.76	264.03	791.35
SYT12	91683	591.22	125.24	417.77	73.54	438.59	154.42	120.1	24.81	167.9	138.1	16.51	116.78	218.79	318.57	74.06	13.93	73.54	102.25	343.89
SERPINH1	871	1447.15	2520.38	2400.97	1628.26	1745.2	1963.57	830.75	2271.4	5441.3	1295.13	1225.22	3103.19	915.51	2855.44	4210.15	2178.83	4575.41	5479.15	2163.77
ZCWPW2	152098	77.25	40.36	51.35	72.52	31.22	16.75	34.02	24.11	13.12	29.27	43.63	24.46	14.56	50.63	36.79	55.89	37.85	34.02	86.43
RNF20	56254	1191.69	1081.39	1044.52	1225.22	769.69	813.63	860.08	674.59	559.28	563.18	866.07	703.28	902.89	450.94	559.28	525.39	450.94	497	1216.75
OR52H1	390067	0	0	1.25	0	0	0.79	0	0	0	0	1.01	0	0	0	0	0	0	0	0
FPGT	8790	420.68	514.56	271.48	713.11	387.02	320.8	267.73	218.79	291.04	325.29	164.42	193.01	215.77	318.57	221.86	224.97	183.82	262.2	624.99
ZNF596	169270	106.63	127.89	152.28	96.01	129.69	49.91	191.67	67.12	48.18	187.71	88.88	59.97	107.38	22.92	73.54	44.25	102.97	56.28	228.13
DGKG	1608	1.75	9.41	9.2	84.04	18.29	7.11	13.83	31	11.64	8.51	94.67	20.56	24.99	2.92	5.06	15.68	26.28	18.16	32.36
BTG2	7832	41475.31	2209.26	13872.08	1832.01	1733.13	3372.43	2434.5	1066.48	392.44	9945.68	6745.86	4328.55	6037.61	1551.09	1331.57	5555.65	3212.66	2777.33	3901.01
EIF2B2	8892	473.41	473.41	902.89	1037.29	529.06	551.56	583.07	587.13	563.18	366.09	909.17	890.44	674.59	1369.04	507.46	466.88	587.13	493.56	500.46
